ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849148::Comments,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075852278::Extended Notes Order  [read only]
1075838984::2858,S,Valid Value,,S,,S,,
1075838984::2859,M,Valid Value,,M,,M,,
1075838984::2860,F,Valid Value,,F,,F,,
1075838984::2861,M,Valid Value,,M,,M,,
1075838984::2862,2,Valid Value,,2,,2,,
1075838984::2863,1,Valid Value,,1,,1,,
1075838984::2864,P,Valid Value,,P,,P,,
1075838984::2865,S,Valid Value,,S,,S,,
1075838984::2866,W,Valid Value,,W,,W,,
1075838984::2867,P,Valid Value,,P,,P,,
1075838984::2868,S,Valid Value,,S,,S,,
1075838984::2869,W,Valid Value,,W,,W,,
1075839019::38,NULL,Default Value,,NULL,,NULL,,
1075839019::39,USER,Default Value,,USER,,USER,,
1075839019::40,CURRENT_TIMESTAMP,Default Value,,CURRENT_TIMESTAMP,,CURRENT_TIMESTAMP,,
1075839019::41,CURRENT_USER,Default Value,,CURRENT_USER,,CURRENT_USER,,
1075839019::42,SESSION_USER,Default Value,,SESSION_USER,,SESSION_USER,,
1075839019::43,SYSTEM_USER,Default Value,,SYSTEM_USER,,SYSTEM_USER,,
1075839019::538,DF_AWBuildVersion_ModifiedDate,Default Value,,DF_AWBuildVersion_ModifiedDate,,DF_AWBuildVersion_ModifiedDate,DF_AWBuildVersion_ModifiedDate,
1075839019::563,DF_ErrorLog_ErrorTime,Default Value,,DF_ErrorLog_ErrorTime,,DF_ErrorLog_ErrorTime,DF_ErrorLog_ErrorTime,
1075839019::572,DF_Department_ModifiedDate,Default Value,,DF_Department_ModifiedDate,,DF_Department_ModifiedDate,DF_Department_ModifiedDate,
1075839019::604,DF_Employee_SalariedFlag,Default Value,,DF_Employee_SalariedFlag,,DF_Employee_SalariedFlag,DF_Employee_SalariedFlag,
1075839019::608,DF_Employee_VacationHours,Default Value,,DF_Employee_VacationHours,,DF_Employee_VacationHours,DF_Employee_VacationHours,
1075839019::612,DF_Employee_SickLeaveHours,Default Value,,DF_Employee_SickLeaveHours,,DF_Employee_SickLeaveHours,DF_Employee_SickLeaveHours,
1075839019::614,DF_Employee_CurrentFlag,Default Value,,DF_Employee_CurrentFlag,,DF_Employee_CurrentFlag,DF_Employee_CurrentFlag,
1075839019::616,DF_Employee_rowguid,Default Value,,DF_Employee_rowguid,,DF_Employee_rowguid,DF_Employee_rowguid,
1075839019::618,DF_Employee_ModifiedDate,Default Value,,DF_Employee_ModifiedDate,,DF_Employee_ModifiedDate,DF_Employee_ModifiedDate,
1075839019::646,DF_EmployeeDepartmentHistory_ModifiedDate,Default Value,,DF_EmployeeDepartmentHistory_ModifiedDate,,DF_EmployeeDepartmentHistory_ModifiedDate,DF_EmployeeDepartmentHistory_ModifiedDate,
1075839019::671,DF_EmployeePayHistory_ModifiedDate,Default Value,,DF_EmployeePayHistory_ModifiedDate,,DF_EmployeePayHistory_ModifiedDate,DF_EmployeePayHistory_ModifiedDate,
1075839019::681,DF_JobCandidate_ModifiedDate,Default Value,,DF_JobCandidate_ModifiedDate,,DF_JobCandidate_ModifiedDate,DF_JobCandidate_ModifiedDate,
1075839019::696,DF_Shift_ModifiedDate,Default Value,,DF_Shift_ModifiedDate,,DF_Shift_ModifiedDate,DF_Shift_ModifiedDate,
1075839019::717,DF_Address_rowguid,Default Value,,DF_Address_rowguid,,DF_Address_rowguid,DF_Address_rowguid,
1075839019::719,DF_Address_ModifiedDate,Default Value,,DF_Address_ModifiedDate,,DF_Address_ModifiedDate,DF_Address_ModifiedDate,
1075839019::741,DF_AddressType_rowguid,Default Value,,DF_AddressType_rowguid,,DF_AddressType_rowguid,DF_AddressType_rowguid,
1075839019::743,DF_AddressType_ModifiedDate,Default Value,,DF_AddressType_ModifiedDate,,DF_AddressType_ModifiedDate,DF_AddressType_ModifiedDate,
1075839019::757,DF_BusinessEntity_rowguid,Default Value,,DF_BusinessEntity_rowguid,,DF_BusinessEntity_rowguid,DF_BusinessEntity_rowguid,
1075839019::759,DF_BusinessEntity_ModifiedDate,Default Value,,DF_BusinessEntity_ModifiedDate,,DF_BusinessEntity_ModifiedDate,DF_BusinessEntity_ModifiedDate,
1075839019::772,DF_BusinessEntityAddress_rowguid,Default Value,,DF_BusinessEntityAddress_rowguid,,DF_BusinessEntityAddress_rowguid,DF_BusinessEntityAddress_rowguid,
1075839019::774,DF_BusinessEntityAddress_ModifiedDate,Default Value,,DF_BusinessEntityAddress_ModifiedDate,,DF_BusinessEntityAddress_ModifiedDate,DF_BusinessEntityAddress_ModifiedDate,
1075839019::795,DF_BusinessEntityContact_rowguid,Default Value,,DF_BusinessEntityContact_rowguid,,DF_BusinessEntityContact_rowguid,DF_BusinessEntityContact_rowguid,
1075839019::797,DF_BusinessEntityContact_ModifiedDate,Default Value,,DF_BusinessEntityContact_ModifiedDate,,DF_BusinessEntityContact_ModifiedDate,DF_BusinessEntityContact_ModifiedDate,
1075839019::816,DF_ContactType_ModifiedDate,Default Value,,DF_ContactType_ModifiedDate,,DF_ContactType_ModifiedDate,DF_ContactType_ModifiedDate,
1075839019::827,DF_CountryRegion_ModifiedDate,Default Value,,DF_CountryRegion_ModifiedDate,,DF_CountryRegion_ModifiedDate,DF_CountryRegion_ModifiedDate,
1075839019::840,DF_EmailAddress_rowguid,Default Value,,DF_EmailAddress_rowguid,,DF_EmailAddress_rowguid,DF_EmailAddress_rowguid,
1075839019::842,DF_EmailAddress_ModifiedDate,Default Value,,DF_EmailAddress_ModifiedDate,,DF_EmailAddress_ModifiedDate,DF_EmailAddress_ModifiedDate,
1075839019::856,DF_Password_rowguid,Default Value,,DF_Password_rowguid,,DF_Password_rowguid,DF_Password_rowguid,
1075839019::858,DF_Password_ModifiedDate,Default Value,,DF_Password_ModifiedDate,,DF_Password_ModifiedDate,DF_Password_ModifiedDate,
1075839019::878,DF_Person_NameStyle,Default Value,,DF_Person_NameStyle,,DF_Person_NameStyle,DF_Person_NameStyle,
1075839019::882,DF_Person_EmailPromotion,Default Value,,DF_Person_EmailPromotion,,DF_Person_EmailPromotion,DF_Person_EmailPromotion,
1075839019::884,DF_Person_rowguid,Default Value,,DF_Person_rowguid,,DF_Person_rowguid,DF_Person_rowguid,
1075839019::886,DF_Person_ModifiedDate,Default Value,,DF_Person_ModifiedDate,,DF_Person_ModifiedDate,DF_Person_ModifiedDate,
1075839019::909,DF_PersonPhone_ModifiedDate,Default Value,,DF_PersonPhone_ModifiedDate,,DF_PersonPhone_ModifiedDate,DF_PersonPhone_ModifiedDate,
1075839019::922,DF_PhoneNumberType_ModifiedDate,Default Value,,DF_PhoneNumberType_ModifiedDate,,DF_PhoneNumberType_ModifiedDate,DF_PhoneNumberType_ModifiedDate,
1075839019::935,DF_StateProvince_IsOnlyStateProvinceFlag,Default Value,,DF_StateProvince_IsOnlyStateProvinceFlag,,DF_StateProvince_IsOnlyStateProvinceFlag,DF_StateProvince_IsOnlyStateProvinceFlag,
1075839019::937,DF_StateProvince_rowguid,Default Value,,DF_StateProvince_rowguid,,DF_StateProvince_rowguid,DF_StateProvince_rowguid,
1075839019::939,DF_StateProvince_ModifiedDate,Default Value,,DF_StateProvince_ModifiedDate,,DF_StateProvince_ModifiedDate,DF_StateProvince_ModifiedDate,
1075839019::963,DF_BillOfMaterials_StartDate,Default Value,,DF_BillOfMaterials_StartDate,,DF_BillOfMaterials_StartDate,DF_BillOfMaterials_StartDate,
1075839019::967,DF_BillOfMaterials_PerAssemblyQty,Default Value,,DF_BillOfMaterials_PerAssemblyQty,,DF_BillOfMaterials_PerAssemblyQty,DF_BillOfMaterials_PerAssemblyQty,
1075839019::969,DF_BillOfMaterials_ModifiedDate,Default Value,,DF_BillOfMaterials_ModifiedDate,,DF_BillOfMaterials_ModifiedDate,DF_BillOfMaterials_ModifiedDate,
1075839019::991,DF_Culture_ModifiedDate,Default Value,,DF_Culture_ModifiedDate,,DF_Culture_ModifiedDate,DF_Culture_ModifiedDate,
1075839019::1013,DF_Document_FolderFlag,Default Value,,DF_Document_FolderFlag,,DF_Document_FolderFlag,DF_Document_FolderFlag,
1075839019::1015,DF_Document_ChangeNumber,Default Value,,DF_Document_ChangeNumber,,DF_Document_ChangeNumber,DF_Document_ChangeNumber,
1075839019::1019,DF_Document_rowguid,Default Value,,DF_Document_rowguid,,DF_Document_rowguid,DF_Document_rowguid,
1075839019::1021,DF_Document_ModifiedDate,Default Value,,DF_Document_ModifiedDate,,DF_Document_ModifiedDate,DF_Document_ModifiedDate,
1075839019::1046,DF_Illustration_ModifiedDate,Default Value,,DF_Illustration_ModifiedDate,,DF_Illustration_ModifiedDate,DF_Illustration_ModifiedDate,
1075839019::1058,DF_Location_CostRate,Default Value,,DF_Location_CostRate,,DF_Location_CostRate,DF_Location_CostRate,
1075839019::1062,DF_Location_Availability,Default Value,,DF_Location_Availability,,DF_Location_Availability,DF_Location_Availability,
1075839019::1064,DF_Location_ModifiedDate,Default Value,,DF_Location_ModifiedDate,,DF_Location_ModifiedDate,DF_Location_ModifiedDate,
1075839019::1097,DF_Product_MakeFlag,Default Value,,DF_Product_MakeFlag,,DF_Product_MakeFlag,DF_Product_MakeFlag,
1075839019::1099,DF_Product_FinishedGoodsFlag,Default Value,,DF_Product_FinishedGoodsFlag,,DF_Product_FinishedGoodsFlag,DF_Product_FinishedGoodsFlag,
1075839019::1119,DF_Product_rowguid,Default Value,,DF_Product_rowguid,,DF_Product_rowguid,DF_Product_rowguid,
1075839019::1121,DF_Product_ModifiedDate,Default Value,,DF_Product_ModifiedDate,,DF_Product_ModifiedDate,DF_Product_ModifiedDate,
1075839019::1141,DF_ProductCategory_rowguid,Default Value,,DF_ProductCategory_rowguid,,DF_ProductCategory_rowguid,DF_ProductCategory_rowguid,
1075839019::1143,DF_ProductCategory_ModifiedDate,Default Value,,DF_ProductCategory_ModifiedDate,,DF_ProductCategory_ModifiedDate,DF_ProductCategory_ModifiedDate,
1075839019::1161,DF_ProductCostHistory_ModifiedDate,Default Value,,DF_ProductCostHistory_ModifiedDate,,DF_ProductCostHistory_ModifiedDate,DF_ProductCostHistory_ModifiedDate,
1075839019::1173,DF_ProductDescription_rowguid,Default Value,,DF_ProductDescription_rowguid,,DF_ProductDescription_rowguid,DF_ProductDescription_rowguid,
1075839019::1175,DF_ProductDescription_ModifiedDate,Default Value,,DF_ProductDescription_ModifiedDate,,DF_ProductDescription_ModifiedDate,DF_ProductDescription_ModifiedDate,
1075839019::1186,DF_ProductDocument_ModifiedDate,Default Value,,DF_ProductDocument_ModifiedDate,,DF_ProductDocument_ModifiedDate,DF_ProductDocument_ModifiedDate,
1075839019::1203,DF_ProductInventory_Quantity,Default Value,,DF_ProductInventory_Quantity,,DF_ProductInventory_Quantity,DF_ProductInventory_Quantity,
1075839019::1205,DF_ProductInventory_rowguid,Default Value,,DF_ProductInventory_rowguid,,DF_ProductInventory_rowguid,DF_ProductInventory_rowguid,
1075839019::1207,DF_ProductInventory_ModifiedDate,Default Value,,DF_ProductInventory_ModifiedDate,,DF_ProductInventory_ModifiedDate,DF_ProductInventory_ModifiedDate,
1075839019::1220,DF_ProductListPriceHistory_ModifiedDate,Default Value,,DF_ProductListPriceHistory_ModifiedDate,,DF_ProductListPriceHistory_ModifiedDate,DF_ProductListPriceHistory_ModifiedDate,
1075839019::1234,DF_ProductModel_rowguid,Default Value,,DF_ProductModel_rowguid,,DF_ProductModel_rowguid,DF_ProductModel_rowguid,
1075839019::1236,DF_ProductModel_ModifiedDate,Default Value,,DF_ProductModel_ModifiedDate,,DF_ProductModel_ModifiedDate,DF_ProductModel_ModifiedDate,
1075839019::1252,DF_ProductModelIllustration_ModifiedDate,Default Value,,DF_ProductModelIllustration_ModifiedDate,,DF_ProductModelIllustration_ModifiedDate,DF_ProductModelIllustration_ModifiedDate,
1075839019::1262,DF_ProductModelProductDescriptionCulture_ModifiedDate,Default Value,,DF_ProductModelProductDescriptionCulture_ModifiedDate,,DF_ProductModelProductDescriptionCulture_ModifiedDate,DF_ProductModelProductDescriptionCulture_ModifiedDate,
1075839019::1275,DF_ProductPhoto_ModifiedDate,Default Value,,DF_ProductPhoto_ModifiedDate,,DF_ProductPhoto_ModifiedDate,DF_ProductPhoto_ModifiedDate,
1075839019::1284,DF_ProductProductPhoto_Primary,Default Value,,DF_ProductProductPhoto_Primary,,DF_ProductProductPhoto_Primary,DF_ProductProductPhoto_Primary,
1075839019::1286,DF_ProductProductPhoto_ModifiedDate,Default Value,,DF_ProductProductPhoto_ModifiedDate,,DF_ProductProductPhoto_ModifiedDate,DF_ProductProductPhoto_ModifiedDate,
1075839019::1300,DF_ProductReview_ReviewDate,Default Value,,DF_ProductReview_ReviewDate,,DF_ProductReview_ReviewDate,DF_ProductReview_ReviewDate,
1075839019::1304,DF_ProductReview_ModifiedDate,Default Value,,DF_ProductReview_ModifiedDate,,DF_ProductReview_ModifiedDate,DF_ProductReview_ModifiedDate,
1075839019::1320,DF_ProductSubcategory_rowguid,Default Value,,DF_ProductSubcategory_rowguid,,DF_ProductSubcategory_rowguid,DF_ProductSubcategory_rowguid,
1075839019::1322,DF_ProductSubcategory_ModifiedDate,Default Value,,DF_ProductSubcategory_ModifiedDate,,DF_ProductSubcategory_ModifiedDate,DF_ProductSubcategory_ModifiedDate,
1075839019::1336,DF_ScrapReason_ModifiedDate,Default Value,,DF_ScrapReason_ModifiedDate,,DF_ScrapReason_ModifiedDate,DF_ScrapReason_ModifiedDate,
1075839019::1353,DF_TransactionHistory_ReferenceOrderLineID,Default Value,,DF_TransactionHistory_ReferenceOrderLineID,,DF_TransactionHistory_ReferenceOrderLineID,DF_TransactionHistory_ReferenceOrderLineID,
1075839019::1355,DF_TransactionHistory_TransactionDate,Default Value,,DF_TransactionHistory_TransactionDate,,DF_TransactionHistory_TransactionDate,DF_TransactionHistory_TransactionDate,
1075839019::1359,DF_TransactionHistory_ModifiedDate,Default Value,,DF_TransactionHistory_ModifiedDate,,DF_TransactionHistory_ModifiedDate,DF_TransactionHistory_ModifiedDate,
1075839019::1380,DF_TransactionHistoryArchive_ReferenceOrderLineID,Default Value,,DF_TransactionHistoryArchive_ReferenceOrderLineID,,DF_TransactionHistoryArchive_ReferenceOrderLineID,DF_TransactionHistoryArchive_ReferenceOrderLineID,
1075839019::1382,DF_TransactionHistoryArchive_TransactionDate,Default Value,,DF_TransactionHistoryArchive_TransactionDate,,DF_TransactionHistoryArchive_TransactionDate,DF_TransactionHistoryArchive_TransactionDate,
1075839019::1386,DF_TransactionHistoryArchive_ModifiedDate,Default Value,,DF_TransactionHistoryArchive_ModifiedDate,,DF_TransactionHistoryArchive_ModifiedDate,DF_TransactionHistoryArchive_ModifiedDate,
1075839019::1401,DF_UnitMeasure_ModifiedDate,Default Value,,DF_UnitMeasure_ModifiedDate,,DF_UnitMeasure_ModifiedDate,DF_UnitMeasure_ModifiedDate,
1075839019::1423,DF_WorkOrder_ModifiedDate,Default Value,,DF_WorkOrder_ModifiedDate,,DF_WorkOrder_ModifiedDate,DF_WorkOrder_ModifiedDate,
1075839019::1456,DF_WorkOrderRouting_ModifiedDate,Default Value,,DF_WorkOrderRouting_ModifiedDate,,DF_WorkOrderRouting_ModifiedDate,DF_WorkOrderRouting_ModifiedDate,
1075839019::1493,DF_ProductVendor_ModifiedDate,Default Value,,DF_ProductVendor_ModifiedDate,,DF_ProductVendor_ModifiedDate,DF_ProductVendor_ModifiedDate,
1075839019::1524,DF_PurchaseOrderDetail_ModifiedDate,Default Value,,DF_PurchaseOrderDetail_ModifiedDate,,DF_PurchaseOrderDetail_ModifiedDate,DF_PurchaseOrderDetail_ModifiedDate,
1075839019::1548,DF_PurchaseOrderHeader_RevisionNumber,Default Value,,DF_PurchaseOrderHeader_RevisionNumber,,DF_PurchaseOrderHeader_RevisionNumber,DF_PurchaseOrderHeader_RevisionNumber,
1075839019::1552,DF_PurchaseOrderHeader_Status,Default Value,,DF_PurchaseOrderHeader_Status,,DF_PurchaseOrderHeader_Status,DF_PurchaseOrderHeader_Status,
1075839019::1554,DF_PurchaseOrderHeader_OrderDate,Default Value,,DF_PurchaseOrderHeader_OrderDate,,DF_PurchaseOrderHeader_OrderDate,DF_PurchaseOrderHeader_OrderDate,
1075839019::1558,DF_PurchaseOrderHeader_SubTotal,Default Value,,DF_PurchaseOrderHeader_SubTotal,,DF_PurchaseOrderHeader_SubTotal,DF_PurchaseOrderHeader_SubTotal,
1075839019::1562,DF_PurchaseOrderHeader_TaxAmt,Default Value,,DF_PurchaseOrderHeader_TaxAmt,,DF_PurchaseOrderHeader_TaxAmt,DF_PurchaseOrderHeader_TaxAmt,
1075839019::1566,DF_PurchaseOrderHeader_Freight,Default Value,,DF_PurchaseOrderHeader_Freight,,DF_PurchaseOrderHeader_Freight,DF_PurchaseOrderHeader_Freight,
1075839019::1568,DF_PurchaseOrderHeader_ModifiedDate,Default Value,,DF_PurchaseOrderHeader_ModifiedDate,,DF_PurchaseOrderHeader_ModifiedDate,DF_PurchaseOrderHeader_ModifiedDate,
1075839019::1590,DF_ShipMethod_ShipBase,Default Value,,DF_ShipMethod_ShipBase,,DF_ShipMethod_ShipBase,DF_ShipMethod_ShipBase,
1075839019::1594,DF_ShipMethod_ShipRate,Default Value,,DF_ShipMethod_ShipRate,,DF_ShipMethod_ShipRate,DF_ShipMethod_ShipRate,
1075839019::1596,DF_ShipMethod_rowguid,Default Value,,DF_ShipMethod_rowguid,,DF_ShipMethod_rowguid,DF_ShipMethod_rowguid,
1075839019::1598,DF_ShipMethod_ModifiedDate,Default Value,,DF_ShipMethod_ModifiedDate,,DF_ShipMethod_ModifiedDate,DF_ShipMethod_ModifiedDate,
1075839019::1619,DF_Vendor_PreferredVendorStatus,Default Value,,DF_Vendor_PreferredVendorStatus,,DF_Vendor_PreferredVendorStatus,DF_Vendor_PreferredVendorStatus,
1075839019::1621,DF_Vendor_ActiveFlag,Default Value,,DF_Vendor_ActiveFlag,,DF_Vendor_ActiveFlag,DF_Vendor_ActiveFlag,
1075839019::1623,DF_Vendor_ModifiedDate,Default Value,,DF_Vendor_ModifiedDate,,DF_Vendor_ModifiedDate,DF_Vendor_ModifiedDate,
1075839019::1635,DF_CountryRegionCurrency_ModifiedDate,Default Value,,DF_CountryRegionCurrency_ModifiedDate,,DF_CountryRegionCurrency_ModifiedDate,DF_CountryRegionCurrency_ModifiedDate,
1075839019::1650,DF_CreditCard_ModifiedDate,Default Value,,DF_CreditCard_ModifiedDate,,DF_CreditCard_ModifiedDate,DF_CreditCard_ModifiedDate,
1075839019::1661,DF_Currency_ModifiedDate,Default Value,,DF_Currency_ModifiedDate,,DF_Currency_ModifiedDate,DF_Currency_ModifiedDate,
1075839019::1676,DF_CurrencyRate_ModifiedDate,Default Value,,DF_CurrencyRate_ModifiedDate,,DF_CurrencyRate_ModifiedDate,DF_CurrencyRate_ModifiedDate,
1075839019::1693,DF_Customer_rowguid,Default Value,,DF_Customer_rowguid,,DF_Customer_rowguid,DF_Customer_rowguid,
1075839019::1695,DF_Customer_ModifiedDate,Default Value,,DF_Customer_ModifiedDate,,DF_Customer_ModifiedDate,DF_Customer_ModifiedDate,
1075839019::1712,DF_PersonCreditCard_ModifiedDate,Default Value,,DF_PersonCreditCard_ModifiedDate,,DF_PersonCreditCard_ModifiedDate,DF_PersonCreditCard_ModifiedDate,
1075839019::1735,DF_SalesOrderDetail_UnitPriceDiscount,Default Value,,DF_SalesOrderDetail_UnitPriceDiscount,,DF_SalesOrderDetail_UnitPriceDiscount,DF_SalesOrderDetail_UnitPriceDiscount,
1075839019::1737,DF_SalesOrderDetail_rowguid,Default Value,,DF_SalesOrderDetail_rowguid,,DF_SalesOrderDetail_rowguid,DF_SalesOrderDetail_rowguid,
1075839019::1739,DF_SalesOrderDetail_ModifiedDate,Default Value,,DF_SalesOrderDetail_ModifiedDate,,DF_SalesOrderDetail_ModifiedDate,DF_SalesOrderDetail_ModifiedDate,
1075839019::1778,DF_SalesOrderHeader_RevisionNumber,Default Value,,DF_SalesOrderHeader_RevisionNumber,,DF_SalesOrderHeader_RevisionNumber,DF_SalesOrderHeader_RevisionNumber,
1075839019::1780,DF_SalesOrderHeader_OrderDate,Default Value,,DF_SalesOrderHeader_OrderDate,,DF_SalesOrderHeader_OrderDate,DF_SalesOrderHeader_OrderDate,
1075839019::1784,DF_SalesOrderHeader_Status,Default Value,,DF_SalesOrderHeader_Status,,DF_SalesOrderHeader_Status,DF_SalesOrderHeader_Status,
1075839019::1786,DF_SalesOrderHeader_OnlineOrderFlag,Default Value,,DF_SalesOrderHeader_OnlineOrderFlag,,DF_SalesOrderHeader_OnlineOrderFlag,DF_SalesOrderHeader_OnlineOrderFlag,
1075839019::1790,DF_SalesOrderHeader_SubTotal,Default Value,,DF_SalesOrderHeader_SubTotal,,DF_SalesOrderHeader_SubTotal,DF_SalesOrderHeader_SubTotal,
1075839019::1794,DF_SalesOrderHeader_TaxAmt,Default Value,,DF_SalesOrderHeader_TaxAmt,,DF_SalesOrderHeader_TaxAmt,DF_SalesOrderHeader_TaxAmt,
1075839019::1798,DF_SalesOrderHeader_Freight,Default Value,,DF_SalesOrderHeader_Freight,,DF_SalesOrderHeader_Freight,DF_SalesOrderHeader_Freight,
1075839019::1800,DF_SalesOrderHeader_rowguid,Default Value,,DF_SalesOrderHeader_rowguid,,DF_SalesOrderHeader_rowguid,DF_SalesOrderHeader_rowguid,
1075839019::1802,DF_SalesOrderHeader_ModifiedDate,Default Value,,DF_SalesOrderHeader_ModifiedDate,,DF_SalesOrderHeader_ModifiedDate,DF_SalesOrderHeader_ModifiedDate,
1075839019::1827,DF_SalesOrderHeaderSalesReason_ModifiedDate,Default Value,,DF_SalesOrderHeaderSalesReason_ModifiedDate,,DF_SalesOrderHeaderSalesReason_ModifiedDate,DF_SalesOrderHeaderSalesReason_ModifiedDate,
1075839019::1846,DF_SalesPerson_Bonus,Default Value,,DF_SalesPerson_Bonus,,DF_SalesPerson_Bonus,DF_SalesPerson_Bonus,
1075839019::1850,DF_SalesPerson_CommissionPct,Default Value,,DF_SalesPerson_CommissionPct,,DF_SalesPerson_CommissionPct,DF_SalesPerson_CommissionPct,
1075839019::1854,DF_SalesPerson_SalesYTD,Default Value,,DF_SalesPerson_SalesYTD,,DF_SalesPerson_SalesYTD,DF_SalesPerson_SalesYTD,
1075839019::1858,DF_SalesPerson_SalesLastYear,Default Value,,DF_SalesPerson_SalesLastYear,,DF_SalesPerson_SalesLastYear,DF_SalesPerson_SalesLastYear,
1075839019::1860,DF_SalesPerson_rowguid,Default Value,,DF_SalesPerson_rowguid,,DF_SalesPerson_rowguid,DF_SalesPerson_rowguid,
1075839019::1862,DF_SalesPerson_ModifiedDate,Default Value,,DF_SalesPerson_ModifiedDate,,DF_SalesPerson_ModifiedDate,DF_SalesPerson_ModifiedDate,
1075839019::1877,DF_SalesPersonQuotaHistory_rowguid,Default Value,,DF_SalesPersonQuotaHistory_rowguid,,DF_SalesPersonQuotaHistory_rowguid,DF_SalesPersonQuotaHistory_rowguid,
1075839019::1879,DF_SalesPersonQuotaHistory_ModifiedDate,Default Value,,DF_SalesPersonQuotaHistory_ModifiedDate,,DF_SalesPersonQuotaHistory_ModifiedDate,DF_SalesPersonQuotaHistory_ModifiedDate,
1075839019::1892,DF_SalesReason_ModifiedDate,Default Value,,DF_SalesReason_ModifiedDate,,DF_SalesReason_ModifiedDate,DF_SalesReason_ModifiedDate,
1075839019::1906,DF_SalesTaxRate_TaxRate,Default Value,,DF_SalesTaxRate_TaxRate,,DF_SalesTaxRate_TaxRate,DF_SalesTaxRate_TaxRate,
1075839019::1908,DF_SalesTaxRate_rowguid,Default Value,,DF_SalesTaxRate_rowguid,,DF_SalesTaxRate_rowguid,DF_SalesTaxRate_rowguid,
1075839019::1910,DF_SalesTaxRate_ModifiedDate,Default Value,,DF_SalesTaxRate_ModifiedDate,,DF_SalesTaxRate_ModifiedDate,DF_SalesTaxRate_ModifiedDate,
1075839019::1934,DF_SalesTerritory_SalesYTD,Default Value,,DF_SalesTerritory_SalesYTD,,DF_SalesTerritory_SalesYTD,DF_SalesTerritory_SalesYTD,
1075839019::1938,DF_SalesTerritory_SalesLastYear,Default Value,,DF_SalesTerritory_SalesLastYear,,DF_SalesTerritory_SalesLastYear,DF_SalesTerritory_SalesLastYear,
1075839019::1942,DF_SalesTerritory_CostYTD,Default Value,,DF_SalesTerritory_CostYTD,,DF_SalesTerritory_CostYTD,DF_SalesTerritory_CostYTD,
1075839019::1946,DF_SalesTerritory_CostLastYear,Default Value,,DF_SalesTerritory_CostLastYear,,DF_SalesTerritory_CostLastYear,DF_SalesTerritory_CostLastYear,
1075839019::1948,DF_SalesTerritory_rowguid,Default Value,,DF_SalesTerritory_rowguid,,DF_SalesTerritory_rowguid,DF_SalesTerritory_rowguid,
1075839019::1950,DF_SalesTerritory_ModifiedDate,Default Value,,DF_SalesTerritory_ModifiedDate,,DF_SalesTerritory_ModifiedDate,DF_SalesTerritory_ModifiedDate,
1075839019::1967,DF_SalesTerritoryHistory_rowguid,Default Value,,DF_SalesTerritoryHistory_rowguid,,DF_SalesTerritoryHistory_rowguid,DF_SalesTerritoryHistory_rowguid,
1075839019::1969,DF_SalesTerritoryHistory_ModifiedDate,Default Value,,DF_SalesTerritoryHistory_ModifiedDate,,DF_SalesTerritoryHistory_ModifiedDate,DF_SalesTerritoryHistory_ModifiedDate,
1075839019::1989,DF_ShoppingCartItem_Quantity,Default Value,,DF_ShoppingCartItem_Quantity,,DF_ShoppingCartItem_Quantity,DF_ShoppingCartItem_Quantity,
1075839019::1991,DF_ShoppingCartItem_DateCreated,Default Value,,DF_ShoppingCartItem_DateCreated,,DF_ShoppingCartItem_DateCreated,DF_ShoppingCartItem_DateCreated,
1075839019::1993,DF_ShoppingCartItem_ModifiedDate,Default Value,,DF_ShoppingCartItem_ModifiedDate,,DF_ShoppingCartItem_ModifiedDate,DF_ShoppingCartItem_ModifiedDate,
1075839019::2015,DF_SpecialOffer_DiscountPct,Default Value,,DF_SpecialOffer_DiscountPct,,DF_SpecialOffer_DiscountPct,DF_SpecialOffer_DiscountPct,
1075839019::2019,DF_SpecialOffer_MinQty,Default Value,,DF_SpecialOffer_MinQty,,DF_SpecialOffer_MinQty,DF_SpecialOffer_MinQty,
1075839019::2023,DF_SpecialOffer_rowguid,Default Value,,DF_SpecialOffer_rowguid,,DF_SpecialOffer_rowguid,DF_SpecialOffer_rowguid,
1075839019::2025,DF_SpecialOffer_ModifiedDate,Default Value,,DF_SpecialOffer_ModifiedDate,,DF_SpecialOffer_ModifiedDate,DF_SpecialOffer_ModifiedDate,
1075839019::2039,DF_SpecialOfferProduct_rowguid,Default Value,,DF_SpecialOfferProduct_rowguid,,DF_SpecialOfferProduct_rowguid,DF_SpecialOfferProduct_rowguid,
1075839019::2041,DF_SpecialOfferProduct_ModifiedDate,Default Value,,DF_SpecialOfferProduct_ModifiedDate,,DF_SpecialOfferProduct_ModifiedDate,DF_SpecialOfferProduct_ModifiedDate,
1075839019::2059,DF_Store_rowguid,Default Value,,DF_Store_rowguid,,DF_Store_rowguid,DF_Store_rowguid,
1075839019::2061,DF_Store_ModifiedDate,Default Value,,DF_Store_ModifiedDate,,DF_Store_ModifiedDate,DF_Store_ModifiedDate,
